dword	qcode	byte	byte	byte	byte	dword	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	double	dword	dword	dword	dword	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	byte	byte	word	dword	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	qcode	END
Count	QCode	QuestType	DificultyLv	2	LimLv	none	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ConsExp	ConsDalant	none	ConsContrib	ConsPvP	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	CnsMasID	CnsMasSubID	none	CnsMasCnt	CnsMasID	CnsMasSubID	none	CnsMasCnt	ConsSkillCode	ConsSkillCnt	ConsForceCode	ConsForceCnt	QSDesc1	QSDesc2	QSDesc3	QSDesc4	QSDesc5	QFDesc1	QFDesc2	QFDesc3	QFDesc4	QFDesc5	LQ1	LQ1	LQ2	LQ2	LQ3	LQ3	LQ4	LQ4	LQ5	LQ5	QTitle	QDesc1	QDesc2	QDesc3	QDesc4	QDesc5	BriefDesc	none	none	none	none	Store_trade	IsFailCheck	FailCond	FailCode	none	FailCond	FailCode	none	FailCond	FailCode	none	none	none	none	FailLinkQuest	
0	Q070000	0	1	0	-1	0	15	0	0	Q070000	-1	1	3102	3124	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	iwrtn01	1	0	0	iwrtn02	1	0	0	iwrtn03	1	0	0	bxcsa77	1	0	0	bxcsa80	1	0	0	-1	-1	0	0	0	0	0	100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	995	996	-1	-1	-1	2059	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
1	Q070001	0	1	0	-1	0	3	0	0	00001	-1	5	3096	3118	-1	3	0	0	00201	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	idbcb04	1	0	0	iwknb05	1	0	0	iebbs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	1	0	0	100	-1	-1	0	-1	-1	-1	-1	-1	3147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1025	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
2	Q070002	0	1	0	-1	0	3	0	0	00001	-1	5	3096	3118	-1	3	0	0	00201	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwswb05	1	0	0	iebbs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1025	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
3	Q070003	0	1	0	-1	0	3	0	0	00001	-1	5	3096	3118	-1	3	0	0	00201	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwmab05	1	0	0	iebbs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1025	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
4	Q070004	0	1	0	-1	0	3	0	0	00001	-1	5	3096	3118	-1	3	0	0	00201	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwaxb05	1	0	0	iebbs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1025	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
5	Q070005	0	1	0	-1	0	3	0	0	00001	-1	5	3096	3118	-1	3	0	0	00201	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwspb05	1	0	0	iebbs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1025	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
6	Q070006	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
7	Q070007	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
8	Q070008	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
